Date;High;Low;Close;ADX
14.07.2009;35.5;35.12;35.43;15.98
15.07.2009;36.63;35.85;36.62;16.24
16.07.2009;37.14;36.43;37.06;17
17.07.2009;37.27;36.87;37.26;17.84
20.07.2009;37.7;37.31;37.62;19.04
21.07.2009;37.87;37.34;37.87;20.31
22.07.2009;38.38;37.82;38.19;21.93
23.07.2009;39.17;38.08;39.03;24
24.07.2009;39.05;38.47;38.74;25.93
27.07.2009;39.09;38.56;39.03;27.75
28.07.2009;39.27;38.62;39.15;29.57
29.07.2009;39.11;38.69;39.02;31.26
30.07.2009;39.86;39.19;39.25;33.34
31.07.2009;39.53;39.09;39.13;35.03
03.08.2009;39.74;39.32;39.72;36.74
04.08.2009;39.87;39.45;39.72;38.41
05.08.2009;39.82;39.14;39.41;39.14
06.08.2009;39.61;38.93;39.06;39.27
07.08.2009;39.75;39.27;39.56;39.53
10.08.2009;39.53;39.02;39.28;39.14
11.08.2009;39.18;38.74;38.95;38.09
12.08.2009;39.9;38.89;39.55;37.98
13.08.2009;39.84;39.32;39.77;37.88
14.08.2009;39.64;38.97;39.31;36.95
17.08.2009;38.7;38.15;38.17;34.54
18.08.2009;38.8;38.3;38.72;32.46
19.08.2009;39.08;38.23;38.99;30.96
20.08.2009;39.52;38.89;39.44;30.18
21.08.2009;40.04;39.42;39.97;30.08
24.08.2009;40.25;39.78;39.93;30.21
25.08.2009;40.43;39.93;40.05;30.55
26.08.2009;40.28;39.76;39.98;30.48
27.08.2009;40.15;39.35;40.08;29.56
28.08.2009;40.75;39.84;40.12;29.46
31.08.2009;39.88;39.47;39.71;28.67
01.09.2009;40.26;38.85;38.97;26.87
02.09.2009;39.15;38.73;38.94;25.02
03.09.2009;39.25;38.71;39.19;23.46
04.09.2009;40.06;39.2;40.04;23.11
08.09.2009;40.45;40.14;40.41;23.25
09.09.2009;40.96;40.26;40.76;23.9
10.09.2009;41.2;40.67;41.15;24.73
11.09.2009;41.29;40.89;41.19;25.59
14.09.2009;41.38;40.88;41.35;26.47
15.09.2009;41.61;41.24;41.48;27.53
16.09.2009;42.14;41.5;42.08;28.98
17.09.2009;42.32;41.87;42.07;30.48
18.09.2009;42.32;41.91;42.14;31.87
21.09.2009;42.4;41.86;42.27;33.24
22.09.2009;42.53;42.14;42.35;34.62
23.09.2009;42.87;42.08;42.15;36.2
24.09.2009;42.39;41.48;41.77;36.07
25.09.2009;41.79;41.29;41.41;35.5
28.09.2009;42.36;41.59;42.11;35.63
29.09.2009;42.32;41.73;41.92;35.76
30.09.2009;42.3;41.31;41.95;34.88
01.10.2009;41.83;40.71;40.71;32.89
